Site_Name,Contract_ID,specialist_site_type_code,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast
AimBig Employment CAMPBELLTOWN,0212902B,AALL,20.0,116.0,1.0,97.0,0.0,0.0
AimBig Employment CAMPSIE,0212839K,MENH,14.0,14.0,0.0,0.0,0.0,0.0
AimBig Employment CAMPSIE,0212840D,MUSK,7.0,7.0,0.0,0.0,0.0,0.0
AimBig Employment CAPALABA,0212796E,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment CASINO,0212829J,AALL,5.0,37.0,0.0,32.0,0.0,0.0
AimBig Employment CASINO,0212890C,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment CASUARINA,0212830B,AALL,3.0,3.0,0.0,0.0,0.0,0.0
AimBig Employment CASUARINA,0212891D,AALL,4.0,4.0,0.0,0.0,0.0,0.0
AimBig Employment CESSNOCK,0212813A,AALL,9.0,41.0,0.0,32.0,0.0,0.0
AimBig Employment CESSNOCK,0212882C,AALL,9.0,33.0,0.0,24.0,0.0,0.0
AimBig Employment CHARLESTOWN,0212815C,AALL,1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment CHARLESTOWN,0212884E,AALL,3.0,11.0,0.0,8.0,0.0,0.0
AimBig Employment CHATSWOOD,0212851G,(blank),3.0,19.0,0.0,16.0,0.0,0.0
AimBig Employment CHATSWOOD,0212852H,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment CHERMSIDE,0212795D,AALL,10.0,81.0,1.0,72.0,0.0,0.0
AimBig Employment CHERMSIDE,0212879H,AALL,7.0,55.0,0.0,48.0,0.0,0.0
AimBig Employment CHINCHILLA,0212838K,AALL,2.0,10.0,1.0,9.0,0.0,0.0
AimBig Employment CHINCHILLA,0212897K,AALL,3.0,11.0,0.0,8.0,0.0,0.0
AimBig Employment COFFS HARBOUR,0212826F,AALL,9.0,33.0,0.0,24.0,0.0,0.0
AimBig Employment COFFS HARBOUR,0212887H,(blank),5.0,21.0,0.0,16.0,0.0,0.0
AimBig Employment CORIO,0212862K,AALL,3.0,67.0,2.0,66.0,0.0,0.0
AimBig Employment CORIO,0212895H,AALL,6.0,38.0,0.0,32.0,0.0,0.0
AimBig Employment CRAIGIEBURN,0212817E,AALL,15.0,55.0,2.0,42.0,0.0,0.0
AimBig Employment CRAIGIEBURN,0212886G,AALL,11.0,43.0,0.0,32.0,0.0,0.0
AimBig Employment DALBY,0212838K,AALL,5.0,21.0,1.0,17.0,0.0,0.0
AimBig Employment DALBY,0212897K,AALL,6.0,46.0,0.0,40.0,0.0,0.0
AimBig Employment DARLINGHURST,0212845J,AALL,8.0,32.0,0.0,24.0,0.0,0.0
AimBig Employment DARLINGHURST,0212900K,AALL,3.0,67.0,1.0,65.0,0.0,0.0
AimBig Employment DARWIN CITY,0212830B,AALL,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment DARWIN CITY,0212891D,AALL,1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment DEAKIN,0212835G,(blank),1.0,7.0,0.0,6.0,0.0,0.0
AimBig Employment DEAKIN,0212836H,MUSK,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment DEVONPORT,0212868E,MENH,2.0,2.0,0.0,0.0,0.0,0.0
AimBig Employment DEVONPORT,0212869F,MUSK,1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment DUBBO,0212870K,MENH,1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment DUBBO,0212871K,MUSK,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment EPPING,0212820K,MENH,12.0,53.0,1.0,42.0,0.0,0.0
AimBig Employment EPPING,0212821A,MUSK,4.0,20.0,0.0,16.0,0.0,0.0
AimBig Employment ETTALONG BEACH,0212812K,AALL,4.0,28.0,0.0,24.0,0.0,0.0
AimBig Employment ETTALONG BEACH,0212881B,AALL,11.0,51.0,0.0,40.0,0.0,0.0
AimBig Employment FAIRFIELD,0212844H,AALL,16.0,192.0,0.0,176.0,0.0,0.0
AimBig Employment FAIRFIELD,0212899A,AALL,16.0,54.0,0.0,38.0,0.0,0.0
AimBig Employment FORTITUDE VALLEY,0212795D,AALL,3.0,11.0,1.0,9.0,0.0,0.0
AimBig Employment FORTITUDE VALLEY,0212879H,AALL,10.0,50.0,0.0,40.0,0.0,0.0
AimBig Employment FRANKSTON,0212818F,MENH,17.0,161.0,1.0,145.0,0.0,0.0
AimBig Employment FRANKSTON,0212819G,MUSK,3.0,35.0,1.0,33.0,0.0,0.0
AimBig Employment GEELONG,0212895H,AALL,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment GLEN INNES,0212828H,AALL,4.0,28.0,0.0,24.0,0.0,0.0
AimBig Employment GLEN INNES,0212889K,AALL,11.0,59.0,0.0,48.0,0.0,0.0
AimBig Employment GLENORCHY,0212861J,AALL,7.0,56.0,1.0,50.0,0.0,0.0
AimBig Employment GLENORCHY,0212892E,(blank),1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment GLENROY,0212817E,AALL,1.0,17.0,0.0,16.0,0.0,0.0
AimBig Employment GLENROY,0212886G,AALL,4.0,4.0,0.0,0.0,0.0,0.0
AimBig Employment GOSFORD,0212812K,AALL,0.0,16.0,1.0,17.0,0.0,0.0
AimBig Employment GOSFORD,0212881B,AALL,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment GUNNEDAH,0212814B,AALL,0.0,24.0,0.0,24.0,0.0,0.0
AimBig Employment GUNNEDAH,0212883D,(blank),0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment HEIDELBERG,0212820K,MENH,7.0,55.0,0.0,48.0,0.0,0.0
AimBig Employment HEIDELBERG,0212821A,MUSK,3.0,3.0,0.0,0.0,0.0,0.0
