Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
DMS,13504060,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL
DMS,4626161007,0212817E,Y997,AimBig Employment Pty Ltd SUNBURY,4CAL,Northern Victoria,VIC,AALL
DMS,1932500005,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
ESS,645205909,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL
ESS,2847784909,0212879H,NX17,AimBig Employment FORTITUDE VALLEY,4NOB,QLD North,QLD,
DMS,1623177909,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MUSK
DMS,702555209,0212834F,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
ESS,9591100006,0212892E,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
ESS,6750658209,0212888J,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,965594909,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MUSK
DMS,6054852109,0212796E,FR68,AimBig Employment INALA,4SOB,QLD South and West,QLD,MENH
DMS,3327830,0212793B,FR58,AimBig Employment NERANG,4GOC,QLD South and West,QLD,
ESS,13498280,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
ESS,7093330609,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL
DMS,5594062609,0212797F,FR68,AimBig Employment INALA,4SOB,QLD South and West,QLD,
DMS,1723321809,0212822B,YA97,AimBig Employment Pty Ltd ST ALBANS,4WES,Western Victoria,VIC,
DMS,6870084109,0212858C,AC01,AimBig Employment MARYBOROUGH,4BEN,Regional Victoria,VIC,
DMS,9897641909,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,MENH
DMS,3013491004,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,1789858609,0212817E,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,AALL
ESS,1468562509,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,9244859709,0212796E,FR68,AimBig Employment INALA,4SOB,QLD South and West,QLD,MENH
ESS,6166420609,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
ESS,19083990,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL
ESS,4824192709,0212886G,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,
DMS,2243879809,0212845J,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL
DMS,13034620,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL
DMS,9777182709,0212821A,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
DMS,5765488209,0212841E,NW77,AimBig Employment HORNSBY,4CWS,Northern Sydney,NSW,AALL
DMS,8129589509,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MUSK
DMS,8272689609,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,8391413609,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
DMS,6700834004,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,
DMS,9590624003,0212829J,AD01,AimBig Employment CASINO,4RIC,Northern NSW,NSW,AALL
ESS,16547360,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,AALL
ESS,5631427003,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL
ESS,605946003,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,2486455009,0212862K,AB91,AimBig Employment CORIO,4GEE,South Victoria,VIC,
DMS,8628325109,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,19121850,0212796E,MO57,AimBig Employment UPPER MOUNT GRAVATT,4SOB,QLD South and West,QLD,
ESS,7723701509,0212892E,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
DMS,7850512004,0212874C,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,
ESS,2804502509,0212881B,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,
DMS,17954390,0212825E,MM77,AimBig Employment MELBOURNE,4YAR,Northern Victoria,VIC,MUSK
DMS,5249830,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,3882430004,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,AALL
ESS,3777340909,0212881B,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,AALL
ESS,3324899209,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
ESS,1754498909,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
ESS,2575943509,0212888J,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,1092990004,0212794C,FR58,AimBig Employment NERANG,4GOC,QLD South and West,QLD,
DMS,5345455309,0212854K,ML87,AimBig Employment MOUNT DRUITT,4OWS,South Western Sydney,NSW,MUSK
ESS,5706416003,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL
ESS,5994849409,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
DMS,9098903809,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH
ESS,3495500909,0212904D,NW67,AimBig Employment ROCKDALE,4SGS,South East Sydney,NSW,
DMS,7142321004,0212816D,AE01,AimBig Employment SINGLETON,4UPH,Newcastle/Hunter,NSW,AALL
DMS,1507889009,0212827G,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
ESS,7735648709,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL
ESS,17601220,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,
DMS,18777490,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,MENH
DMS,7417724007,0212817E,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL
DMS,5271442004,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
ESS,5034303509,0212897K,AB71,AimBig Employment MILES,4WDO,QLD South and West,QLD,
DMS,2627460,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
ESS,7800262309,0212892E,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
DMS,1900491005,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,MENH
DMS,8921960119,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
ESS,17007160,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,230649309,0212797F,FR68,AimBig Employment INALA,4SOB,QLD South and West,QLD,
ESS,3629839409,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,
DMS,11915840,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,MENH
DMS,9543134909,0212812K,AE91,AimBig Employment GOSFORD,4CEC,Central Coast NSW,NSW,
DMS,6840034019,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH
DMS,423747909,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
ESS,6060020,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,4013262004,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,
ESS,277990609,0212895H,AB91,AimBig Employment CORIO,4GEE,South Victoria,VIC,
DMS,1302464909,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH
ESS,4634514019,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
DMS,1113508909,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL
DMS,410689109,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL
DMS,2517282019,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,AALL
ESS,1182324019,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,
DMS,4005351008,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,
ESS,3725610,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
DMS,1301705003,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL
ESS,4328697809,0212879H,FU88,AimBig Employment STRATHPINE,4NOB,QLD North,QLD,
ESS,2455100005,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL
ESS,2593150,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL
DMS,2091570,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,5320536609,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL
ESS,4252631309,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL
DMS,3914881009,0212797F,FR68,AimBig Employment INALA,4SOB,QLD South and West,QLD,
DMS,15874180,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
ESS,4074345004,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,8637302004,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,
ESS,482970409,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,7129666609,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,8653940003,0212887H,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
ESS,2340066809,0212894G,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,AALL
DMS,7675361709,0212822B,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,
DMS,3022906709,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MENH
DMS,7704049509,0212817E,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL
DMS,2332223509,0212865B,AC31,Aimbig Employment LAUNCESTON,4LAU,Tasmania,TAS,
ESS,18766610,0212885F,AE01,AimBig Employment SINGLETON,4UPH,Newcastle/Hunter,NSW,
DMS,19202790,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,6959790609,0212822B,YA97,AimBig Employment Pty Ltd ST ALBANS,4WES,Western Victoria,VIC,
DMS,967572007,0212822B,YA97,AimBig Employment Pty Ltd ST ALBANS,4WES,Western Victoria,VIC,MENH
ESS,8368346809,0212881B,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
DMS,3028610,0212841E,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
DMS,6131194019,0212812K,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
DMS,9922169109,0212851G,NW97,AimBig Employment CHATSWOOD,4NOS,Northern Sydney,NSW,
DMS,8967987409,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,
ESS,4967667009,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
ESS,4171250119,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL
ESS,9273524209,0212897K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,
