Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
DMS,2417520,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,
DMS,81464909,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
ESS,1936650,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL
ESS,6631835609,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,65372007,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH
ESS,3137600,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
DMS,2170360,0212842F,MM17,AimBig Employment BONDI JUNCTION,4ESU,Eastern Sydney,NSW,
ESS,9298854609,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
ESS,9921062409,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
DMS,9159424019,0212833E,MM57,AimBig Employment OSBORNE PARK,4NOM,Western Australia,WA,
DMS,7712939809,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,2905320,0212841E,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,8672279609,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,8239389409,0212817E,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
DMS,9745829409,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
DMS,7241751004,0212838K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,
DMS,8942128509,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,
ESS,3618890,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,
ESS,8957653019,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
DMS,9247792609,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,
DMS,7515275809,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
DMS,71581004,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,
DMS,9743848009,0212821A,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MUSK
ESS,9920707709,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,
DMS,88921109,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,8538100019,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,96069709,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,
DMS,9644538003,0212870K,ML27,AimBig Employment DUBBO,4ORA,Northern NSW,NSW,
ESS,9329775019,0212895H,AB91,AimBig Employment GEELONG,4GEE,South Victoria,VIC,
DMS,82501709,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,8031545003,0212812K,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,
DMS,136912109,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
ESS,9118437809,0212881B,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,
DMS,9853452004,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL
DMS,79472509,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,8137569809,,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
DMS,7026422009,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,105150019,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL
DMS,9858137909,0212865B,AC31,Aimbig Employment LAUNCESTON,4LAU,Tasmania,TAS,
DMS,119181019,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,9355421209,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,7988363909,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
ESS,8081089019,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,8275482004,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,
ESS,9368506009,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
ESS,3925230,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,9344451109,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL
DMS,8870591209,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,MENH
DMS,248663109,0212872A,ML17,AimBig Employment ORANGE,4PAT,Northern NSW,NSW,
DMS,8301451809,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,
DMS,2657070,0212851G,NW87,AimBig Employment RYDE,4NOS,Northern Sydney,NSW,
DMS,9432713007,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
DMS,8951946909,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
DMS,224677019,0212822B,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
DMS,8950054019,0212812K,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
DMS,218487409,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK
DMS,3038880,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
ESS,9397210009,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
DMS,254857309,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
ESS,8841130003,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,3923190,,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,106002007,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
DMS,149284709,0212865B,AC31,Aimbig Employment LAUNCESTON,4LAU,Tasmania,TAS,
DMS,3959990,,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,222532007,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MUSK
DMS,80331004,,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,
DMS,126652007,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,9397837003,0212881B,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
ESS,4035380,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,8400252003,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL
ESS,9991661809,0212881B,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
DMS,4312520,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,9532770003,,NULL,NULL,4INS,NULL,NULL,
DMS,9052946609,0212830B,AC81,AimBig Employment TIWI,4DAR,Northern Territory,NT,
DMS,9460856003,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
ESS,7608130004,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,
DMS,174214509,,NULL,NULL,4PEN,NULL,NULL,
ESS,117164209,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL
ESS,8218591003,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL
DMS,9706222003,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,9209060006,0212861J,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,
DMS,8996288409,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
ESS,236674909,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,
ESS,8153891909,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,9298105909,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,9009509,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
ESS,273046019,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,150248609,,NULL,NULL,4INS,NULL,NULL,
DMS,114892009,0212869F,ML37,AimBig Employment DEVONPORT,4WNW,Tasmania,TAS,MUSK
DMS,11516119,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,315064609,0212826F,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
DMS,121263709,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
ESS,124851004,0212897K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,
DMS,3664440,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,332894007,0212822B,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
DMS,159910409,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
DMS,273158019,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,9683012009,0212866C,ML47,AimBig Employment MILDURA,4SUN,South Australia,VIC,
DMS,11631909,0212804K,MN97,AimBig Employment HYDE PARK,4TOW,QLD North,QLD,
ESS,306053509,0212881B,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
ESS,9199557509,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
DMS,205579809,0212795D,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,
DMS,341513409,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
ESS,4014900,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,291138609,0212864A,ML57,AimBig Employment WARRNAMBOOL,4HAM,Regional Victoria,VIC,
DMS,211805003,0212812K,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
DMS,256012005,0212812K,AE91,AimBig Employment GOSFORD,4CEC,Central Coast NSW,NSW,
ESS,182003119,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
DMS,8271833809,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,291200001,0212830B,AC81,AimBig Employment TIWI,4DAR,Northern Territory,NT,
ESS,9414870003,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,327533004,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
ESS,9249040003,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,8764586003,0212812K,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
ESS,272650019,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
DMS,182948019,0212834F,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
DMS,344028609,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,144647019,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
ESS,4128040,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,
DMS,274810909,0212829J,AD11,AimBig Employment LISMORE,4RIC,Northern NSW,NSW,
ESS,195546009,0212891D,AC81,AimBig Employment CASUARINA,4DAR,Northern Territory,NT,
ESS,367191609,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,9863737019,,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,4117730,0212881B,AE91,AimBig Employment GOSFORD,4CEC,Central Coast NSW,NSW,
ESS,313620709,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
ESS,9245087209,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,9250405109,0212876E,MN87,AimBig Employment SALE,4EAG,Regional Victoria,VIC,
ESS,282305909,0212881B,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
DMS,3990280,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,9385715709,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,343570004,0212838K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,
DMS,503062007,0212821A,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
ESS,347524709,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
ESS,222434003,0212887H,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
DMS,3811980,0212859D,ML67,AimBig Employment BALLARAT CENTRAL,4EUR,Regional Victoria,VIC,
DMS,360611003,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,193290509,0212852H,ML97,AimBig Employment BROOKVALE,4NOS,Northern Sydney,NSW,
ESS,567131003,0212904D,NW67,AimBig Employment ROCKDALE,4SGS,South East Sydney,NSW,
DMS,196093109,0212802J,MO07,AimBig Employment MACKAY,4MAK,QLD North,QLD,
DMS,324324004,0212795D,ML07,AimBig Employment MITCHELTON,4NOB,QLD North,QLD,AALL
ESS,611112003,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,AALL
DMS,4034640,0212814B,AE21,AimBig Employment GUNNEDAH,4KEE,Northern NSW,NSW,
DMS,535734019,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
DMS,297171003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL
DMS,8777394609,0212873B,ML17,AimBig Employment ORANGE,4PAT,Northern NSW,NSW,MUSK
ESS,772517909,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
ESS,25340003,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL
DMS,403641009,0212821A,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,MUSK
DMS,8794078509,,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,578448109,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,8811035509,,NULL,NULL,4CAL,NULL,NULL,
ESS,373291003,0212890C,AD11,AimBig Employment LISMORE,4RIC,Northern NSW,NSW,
DMS,4118110,,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,
DMS,581616609,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK
DMS,9461437609,0212850F,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,
DMS,349677003,,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
DMS,635371003,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,
ESS,214381009,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL
DMS,351772609,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,550737003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
ESS,4049970,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
ESS,170802809,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,415952007,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,655520019,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,183382409,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,353643003,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,566125209,0212812K,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,
DMS,226430007,,MM77,AimBig Employment MELBOURNE,4YAR,Northern Victoria,VIC,
ESS,4135100,,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,317958909,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,579790003,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,9535637309,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,9421505509,0212843G,MM17,AimBig Employment BONDI JUNCTION,4ESU,Eastern Sydney,NSW,
DMS,583337019,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
DMS,361595119,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL
DMS,7532509,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
ESS,595178909,0212879H,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,
DMS,9532486209,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,
DMS,327572709,0212824D,MM77,AimBig Employment MELBOURNE,4YAR,Northern Victoria,VIC,
DMS,4084990,,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,604100008,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
DMS,361981209,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,9646145109,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
DMS,718697609,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
DMS,397637009,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
DMS,9568581709,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,8800431003,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL
ESS,696241609,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL
ESS,316505209,0212879H,NX17,AimBig Employment FORTITUDE VALLEY,4NOB,QLD North,QLD,
DMS,183122007,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
ESS,8873214019,0212897K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,
DMS,714727609,0212874C,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,
DMS,378251003,0212842F,MM17,AimBig Employment BONDI JUNCTION,4ESU,Eastern Sydney,NSW,
ESS,180708019,0212881B,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
DMS,611469809,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,650434509,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,
DMS,191811409,0212812K,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,
DMS,406221709,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
ESS,8887324109,0212886G,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
ESS,376001609,0212891D,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,
DMS,223178019,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,
DMS,729300002,,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
ESS,253015003,0212892E,AC41,AimBig Employment HUONVILLE,4HOB,Tasmania,TAS,
ESS,342411119,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL
DMS,8515951509,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,615301609,0212817E,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
DMS,190745003,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,344671019,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,658600001,0212891D,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,
DMS,9752363119,0212819G,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,696892007,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
DMS,8366520006,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
DMS,426909609,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
DMS,663051019,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,972675019,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
ESS,397885509,0212902B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL
DMS,9756547109,0212822B,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
DMS,8597321019,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL
DMS,618558209,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,
DMS,605966909,,NULL,NULL,4DAR,NULL,NULL,
ESS,9804065609,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,627098709,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,388376509,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL
ESS,9974713809,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,623197003,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
DMS,393639809,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
ESS,8969107009,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL
DMS,9989848609,0212830B,AC81,AimBig Employment TIWI,4DAR,Northern Territory,NT,
DMS,674171007,,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,353115809,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,236673003,0212812K,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
ESS,678712003,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,17130008,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
ESS,238464209,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,377611709,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
DMS,627631003,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
DMS,244155019,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
DMS,376895003,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
DMS,687762409,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,204558709,0212829J,AD11,AimBig Employment LISMORE,4RIC,Northern NSW,NSW,
ESS,9550003,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
DMS,368814003,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
DMS,618921809,0212841E,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
ESS,387207909,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,214353809,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,12647009,0212887H,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
DMS,754420019,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,429224007,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
ESS,9851357809,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL
DMS,758735009,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,379902003,,NULL,NULL,4WDO,NULL,NULL,
DMS,9247614007,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,757760019,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
ESS,393264019,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
ESS,892340007,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,645210007,0212817E,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
DMS,478840003,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
DMS,4210010,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,697484019,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH
DMS,897704609,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,437517809,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,649936209,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,
DMS,4294490,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,971330119,0212894G,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,
ESS,492956809,0212888J,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,937507809,0212822B,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
ESS,695723709,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL
ESS,488652409,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,941896409,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,650830005,0212830B,AC81,AimBig Employment WANGURI,4DAR,Northern Territory,NT,
ESS,400907409,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,9198598709,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,
ESS,769827909,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
ESS,433995909,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,1024088609,0212851G,NW87,AimBig Employment RYDE,4NOS,Northern Sydney,NSW,
ESS,663539809,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL
DMS,909507003,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
ESS,418285309,,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,762369009,0212857B,ML77,AimBig Employment WOLLONGONG,4WOL,South East Sydney,NSW,
ESS,15707509,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
