Contract_ID,Site_Name,specialist_site_type_code,Num_13_full,Den_13_full,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast,Num_52_full,Den_52_full,Num_52_path,Den_52_path
0212797F,AimBig Employment WOOLLOONGABBA,(blank),0,10,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
0212798G,AimBig Employment CAIRNS CITY,MENH,0,37,0.0,24.0,0.0,3.0,0.0,0.0,3.0,11.0,0.0,0.0
0212799H,AimBig Employment CAIRNS CITY,MUSK,0,7,0.0,24.0,0.0,3.0,0.0,0.0,2.0,26.0,0.0,0.0
0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,0,32,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,0,16,1.0,9.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
0212802J,AimBig Employment MACKAY,MENH,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212803K,AimBig Employment MACKAY,MUSK,0,14,1.0,17.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0
0212804K,AimBig Employment AITKENVALE,MENH,0,47,4.0,36.0,0.0,4.0,0.0,0.0,1.0,41.0,1.0,1.0
0212804K,AimBig Employment HYDE PARK,MENH,0,24,0.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
0212805A,AimBig Employment AITKENVALE,MUSK,0,8,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0
0212805A,AimBig Employment HYDE PARK,MUSK,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212810J,AimBig Employment BUNBURY,MENH,0,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212812K,AimBig Employment ETTALONG BEACH,AALL,0,30,0.0,24.0,0.0,3.0,0.0,0.0,1.0,25.0,0.0,0.0
0212812K,AimBig Employment GOSFORD,AALL,0,9,0.0,8.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
0212812K,AimBig Employment KANWAL,AALL,0,8,1.0,41.0,0.0,5.0,0.0,0.0,1.0,41.0,0.0,0.0
0212812K,AimBig Employment THE ENTRANCE,AALL,0,38,1.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
0212812K,AimBig Employment WOY WOY,AALL,0,24,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0212812K,AimBig Employment WYONG,AALL,0,5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0212813A,AimBig Employment CESSNOCK,AALL,0,21,1.0,17.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0
0212813A,AimBig Employment MAITLAND,AALL,0,26,0.0,16.0,1.0,10.0,0.0,0.0,1.0,9.0,0.0,0.0
