,Program,JOB_SEEKER_ID,CONTRACT_ID,SITE_CODE,SITE_DESCRIPTION,ESA_CODE,ESA Name,State,SPECIALIST_SITE_TYPE_CODE,Num_13_full,Den_13_full,Num_52,Den_52
111,ESS,8989064909,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
112,ESS,2994078909,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,AALL,0.0,0.0,,
113,DMS,8091437019,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,AALL,0.0,8.0,,
114,DMS,2676118409,0212838K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,AALL,,,,
115,ESS,9182610409,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,AALL,,,,
116,ESS,3796762709,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
117,DMS,2382454309,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,0.0,0.0,,
118,ESS,3255495003,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
119,DMS,1269916019,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,,,,
120,ESS,8750357609,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
121,ESS,1289470209,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
122,DMS,9276390007,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,0.0,0.0,,
123,ESS,9478393109,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,AALL,,,,
124,DMS,2981842004,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL,,,,
125,DMS,4642681009,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
126,ESS,3674222003,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,AALL,,,,
127,ESS,9018839609,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
128,DMS,3499876509,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,,,,
129,DMS,8430289509,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,MENH,0.0,0.0,,
130,DMS,5629064007,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,MENH,1.0,1.0,,
131,DMS,4500231709,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
132,DMS,9414016007,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,0.0,8.0,,
133,DMS,9591734109,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
134,ESS,4857477409,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,AALL,0.0,8.0,,
135,DMS,8804080309,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,MENH,1.0,1.0,,
136,ESS,8046054309,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,0.0,0.0,,
137,DMS,9551037609,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,0.0,0.0,,
138,DMS,6280812003,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,,,,
139,ESS,4357104109,0212879H,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,AALL,0.0,8.0,,
140,DMS,4382849019,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
141,ESS,4902508309,0212902B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL,,,,
142,DMS,5985293004,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,,,,
143,DMS,3950056909,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK,,,,
144,DMS,5677622809,0212821A,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MUSK,,,,
145,DMS,5058741003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
146,DMS,9195272003,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,MENH,,,,
147,ESS,9205633609,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,0.0,0.0,,
148,ESS,8669025609,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,0.0,8.0,,
149,DMS,9114093109,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,0.0,8.0,,
150,ESS,8843463909,0212902B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL,0.0,0.0,,
151,ESS,9710374809,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,0.0,1.0,,
152,DMS,5934753509,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,,,,
153,ESS,6206761009,0212879H,ML07,AimBig Employment MITCHELTON,4NOB,QLD North,QLD,AALL,0.0,0.0,,
154,DMS,4976941003,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,,,,
155,ESS,5583084709,0212881B,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,AALL,,,,
156,ESS,9410496003,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,,,,
157,ESS,3875042003,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
158,ESS,9358387509,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
159,DMS,7255679809,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
160,ESS,9794501509,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,0.0,0.0,,
161,DMS,9719325019,0212817E,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL,,,,
162,DMS,9991510007,0212823C,YA97,AimBig Employment Pty Ltd ST ALBANS,4WES,Western Victoria,VIC,MUSK,,,,
163,ESS,6798722509,0212879H,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,AALL,,,,
164,DMS,886503109,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
165,ESS,4042060709,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
166,DMS,6959646309,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
167,DMS,9571913809,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,MENH,0.0,8.0,,
168,DMS,6936229009,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,,,,
169,DMS,9836636709,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,,,,
170,DMS,3774946019,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,MENH,0.0,0.0,,
171,DMS,9067963709,0212817E,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,AALL,,,,
172,DMS,9686572809,0212843G,MM17,AimBig Employment BONDI JUNCTION,4ESU,Eastern Sydney,NSW,MUSK,,,,
173,DMS,8524430008,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,MENH,0.0,0.0,,
174,DMS,7241501003,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
175,ESS,5812084509,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,0.0,8.0,,
176,DMS,6964033004,0212803K,MO07,AimBig Employment MACKAY,4MAK,QLD North,QLD,MUSK,,,,
177,ESS,7623818019,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,,,,
178,DMS,5841722003,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,MENH,,,,
179,ESS,7692234109,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,0.0,8.0,,
180,DMS,6999623003,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
181,DMS,1187330,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MUSK,,,,
182,ESS,7400391004,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,0.0,8.0,,
183,DMS,7088411809,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,0.0,8.0,,
184,ESS,6773302509,0212881B,AE91,AimBig Employment GOSFORD,4CEC,Central Coast NSW,NSW,AALL,0.0,8.0,,
185,DMS,7707078809,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,MENH,0.0,8.0,,
186,DMS,1669950,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,0.0,0.0,,
187,DMS,6428853004,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,MENH,0.0,0.0,,
188,ESS,8011829109,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,0.0,0.0,,
189,DMS,9729199509,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MENH,,,,
190,DMS,7803153019,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MENH,,,,
191,ESS,8399561109,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL,0.0,0.0,,
192,DMS,7106946509,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,0.0,0.0,,
193,ESS,7277152909,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
194,DMS,516220,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
195,ESS,2173230,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,0.0,8.0,,
196,ESS,52697509,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL,0.0,8.0,,
197,DMS,7189128309,0212822B,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MENH,,,,
198,DMS,8637816609,0212812K,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,AALL,0.0,0.0,,
199,ESS,7969052609,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,,,,
200,ESS,8441424003,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
201,DMS,25004709,0212860H,ML67,AimBig Employment BALLARAT CENTRAL,4EUR,Regional Victoria,VIC,MUSK,,,,
202,DMS,96115609,0212812K,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,0.0,0.0,,
203,DMS,3565860,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,MENH,1.0,1.0,,
204,ESS,1936650,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
205,DMS,65372007,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH,,,,
206,DMS,9743848009,0212821A,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MUSK,0.0,8.0,,
207,DMS,9853452004,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,0.0,0.0,,
208,DMS,105150019,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL,0.0,0.0,,
209,DMS,9344451109,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
210,DMS,8870591209,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,MENH,0.0,8.0,,
211,DMS,218487409,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK,0.0,0.0,,
212,DMS,222532007,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MUSK,,,,
213,DMS,8400252003,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,0.0,8.0,,
214,ESS,117164209,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,,,,
215,ESS,8218591003,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,0.0,8.0,,
216,DMS,114892009,0212869F,ML37,AimBig Employment DEVONPORT,4WNW,Tasmania,TAS,MUSK,,,,
217,DMS,324324004,0212795D,ML07,AimBig Employment MITCHELTON,4NOB,QLD North,QLD,AALL,0.0,0.0,,
218,ESS,611112003,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,AALL,0.0,8.0,,
219,DMS,297171003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,0.0,0.0,,
