,Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full,NUMERATOR,DENOMINATOR
72,AimBig Employment GLEN INNES,0212889K,AALL,15.0,59.0,5,50
73,AimBig Employment GLENORCHY,0212861J,AALL,8.0,28.0,7,30
74,AimBig Employment GLENROY,0212817E,AALL,5.0,7.0,3,31
75,AimBig Employment GLENROY,0212886G,AALL,7.0,9.0,5,27
76,AimBig Employment GOSFORD,0212812K,AALL,1.0,11.0,4,22
77,AimBig Employment GOSFORD,0212881B,AALL,1.0,43.0,3,28
78,AimBig Employment GUNNEDAH,0212814B,AALL,0.0,18.0,0,15
79,AimBig Employment HEIDELBERG,0212820K,MENH,11.0,44.0,9,53
80,AimBig Employment HEIDELBERG,0212821A,MUSK,4.0,11.0,4,11
81,AimBig Employment HOBART,0212861J,AALL,8.0,28.0,6,32
82,AimBig Employment HORNSBY,0212841E,AALL,10.0,16.0,3,22
83,AimBig Employment HORNSBY,0212898K,AALL,6.0,29.0,3,32
84,AimBig Employment HUONVILLE,0212861J,AALL,0.0,9.0,2,11
85,AimBig Employment HURSTVILLE,0212855K,AALL,11.0,23.0,10,52
86,AimBig Employment HURSTVILLE,0212904D,AALL,23.0,62.0,17,75
87,AimBig Employment INGLEBURN,0212849B,AALL,9.0,26.0,10,39
88,AimBig Employment INGLEBURN,0212902B,AALL,4.0,28.0,3,27
89,AimBig Employment INVERELL,0212828H,AALL,8.0,16.0,8,57
90,AimBig Employment INVERELL,0212889K,AALL,10.0,49.0,9,65
91,AimBig Employment JOONDALUP,0212833E,MENH,14.0,35.0,16,48
92,AimBig Employment KANWAL,0212812K,AALL,10.0,40.0,14,37
93,AimBig Employment KANWAL,0212881B,AALL,23.0,77.0,23,98
94,AimBig Employment LEICHHARDT,0212845J,AALL,29.0,73.0,28,110
95,AimBig Employment LEICHHARDT,0212900K,AALL,20.0,66.0,18,131
96,AimBig Employment LISMORE,0212829J,AALL,6.0,39.0,7,50
97,AimBig Employment LIVERPOOL,0212848A,AALL,16.0,70.0,21,126
98,AimBig Employment LIVERPOOL,0212901A,AALL,15.0,61.0,20,88
99,AimBig Employment MACKAY,0212802J,MENH,6.0,14.0,5,40
100,AimBig Employment MACKAY,0212803K,MUSK,5.0,12.0,2,20
101,AimBig Employment MAITLAND,0212813A,AALL,12.0,38.0,8,42
102,AimBig Employment MAITLAND,0212882C,AALL,18.0,58.0,16,88
103,AimBig Employment MARRICKVILLE,0212845J,AALL,13.0,25.0,10,42
104,AimBig Employment MARRICKVILLE,0212900K,AALL,13.0,64.0,13,73
105,AimBig Employment MARYBOROUGH,0212858C,AALL,2.0,2.0,3,13
106,AimBig Employment MARYBOROUGH,0212894G,AALL,0.0,3.0,1,10
107,AimBig Employment MELBOURNE,0212825E,MUSK,16.0,29.0,10,28
108,AimBig Employment MERRYLANDS,0212898K,AALL,1.0,1.0,0,0
109,AimBig Employment MILDURA,0212866C,MENH,1.0,22.0,3,17
110,AimBig Employment MILE END,0212791K,MENH,12.0,31.0,9,46
111,AimBig Employment MILES,0212838K,AALL,5.0,18.0,4,22
112,AimBig Employment MILES,0212897K,AALL,1.0,9.0,2,20
113,AimBig Employment MIRANDA,0212855K,AALL,9.0,46.0,9,56
114,AimBig Employment MIRANDA,0212904D,AALL,15.0,39.0,13,64
115,AimBig Employment MITCHELTON,0212795D,AALL,11.0,29.0,8,30
116,AimBig Employment MITCHELTON,0212879H,AALL,11.0,39.0,10,52
117,AimBig Employment MOONEE PONDS,0212817E,AALL,27.0,146.0,28,194
118,AimBig Employment MOONEE PONDS,0212886G,AALL,34.0,141.0,34,183
119,AimBig Employment MOUNT DRUITT,0212853J,MENH,13.0,45.0,18,63
120,AimBig Employment MOUNT DRUITT,0212854K,MUSK,8.0,19.0,7,33
121,AimBig Employment NAMBUCCA HEADS,0212826F,AALL,3.0,19.0,3,9
122,AimBig Employment NERANG,0212793B,MENH,6.0,7.0,3,21
123,AimBig Employment NEWPORT,0212822B,MENH,10.0,27.0,9,49
124,AimBig Employment NEWPORT,0212823C,MUSK,9.0,14.0,10,52
125,AimBig Employment NORTH LAKES,0212795D,AALL,29.0,129.0,39,152
126,AimBig Employment NORTH LAKES,0212879H,AALL,25.0,89.0,24,117
127,AimBig Employment ORANGE,0212872A,MENH,2.0,15.0,2,12
128,AimBig Employment ORANGE,0212873B,MUSK,0.0,14.0,1,4
129,AimBig Employment OSBORNE PARK,0212833E,MENH,5.0,10.0,1,9
130,AimBig Employment PARRAMATTA,0212841E,AALL,21.0,61.0,26,74
131,AimBig Employment PARRAMATTA,0212898K,AALL,17.0,77.0,21,93
132,AimBig Employment PENRITH,0212850F,AALL,24.0,70.0,22,79
133,AimBig Employment PHILLIP,0212836H,MUSK,2.0,2.0,1,3
134,AimBig Employment PROSPECT,0212790K,MUSK,6.0,29.0,6,50
135,AimBig Employment Pty Ltd BACCHUS MARSH,0212822B,MENH,3.0,3.0,1,5
136,AimBig Employment Pty Ltd CAPEL SOUND,0212818F,MENH,0.0,0.0,0,0
137,AimBig Employment Pty Ltd GEELONG,0212862K,AALL,0.0,1.0,1,10
138,AimBig Employment Pty Ltd GEELONG,0212895H,AALL,2.0,11.0,1,7
139,AimBig Employment Pty Ltd HOPPERS CROSSING,0212822B,MENH,2.0,2.0,0,12
140,AimBig Employment Pty Ltd MELTON,0212822B,MENH,1.0,1.0,0,8
141,AimBig Employment Pty Ltd MELTON,0212823C,MUSK,3.0,8.0,2,10
142,AimBig Employment Pty Ltd PRESTON,0212820K,MENH,1.0,1.0,0,0
143,AimBig Employment Pty Ltd PRESTON,0212821A,MUSK,0.0,0.0,0,0
144,AimBig Employment Pty Ltd RESERVOIR,0212820K,MENH,4.0,11.0,4,10
145,AimBig Employment Pty Ltd RESERVOIR,0212821A,MUSK,5.0,6.0,3,11
146,AimBig Employment Pty Ltd ST ALBANS,0212822B,MENH,7.0,11.0,1,11
147,AimBig Employment Pty Ltd ST ALBANS,0212823C,MUSK,5.0,7.0,3,14
148,AimBig Employment Pty Ltd SUNBURY,0212817E,AALL,2.0,2.0,1,4
149,AimBig Employment Pty Ltd THOMASTOWN,0212820K,MENH,1.0,1.0,0,6
150,AimBig Employment Pty Ltd THOMASTOWN,0212821A,MUSK,0.0,0.0,0,4
151,AimBig Employment Pty Ltd. ARMIDALE,0212889K,AALL,1.0,1.0,0,5
152,AimBig Employment Pty Ltd. SEATON,0212791K,MENH,2.0,2.0,2,5
153,AimBig Employment ROCKDALE,0212855K,AALL,11.0,36.0,13,49
154,AimBig Employment ROCKDALE,0212904D,AALL,5.0,25.0,5,42
155,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH,7.0,18.0,9,28
156,AimBig Employment ROCKHAMPTON CITY,0212801H,MUSK,4.0,10.0,3,26
157,AimBig Employment ROCKINGHAM,0212831C,MENH,20.0,66.0,16,77
158,AimBig Employment ROCKINGHAM,0212832D,MUSK,4.0,34.0,5,36
159,AimBig Employment ROMA,0212838K,AALL,9.0,12.0,7,22
160,AimBig Employment ROMA,0212897K,AALL,4.0,21.0,6,30
161,AimBig Employment ROSNY PARK,0212861J,AALL,1.0,8.0,1,17
162,AimBig Employment SINGLETON,0212816D,AALL,15.0,17.0,11,29
163,AimBig Employment SOUTHPORT,0212793B,MENH,6.0,7.0,5,17
164,AimBig Employment STRATHPINE,0212795D,AALL,2.0,3.0,2,4
165,AimBig Employment SUNSHINE,0212822B,MENH,7.0,17.0,9,36
166,AimBig Employment SUNSHINE,0212823C,MUSK,9.0,16.0,18,50
167,AimBig Employment SURFERS PARADISE,0212793B,MENH,14.0,42.0,14,59
168,AimBig Employment SURRY HILLS,0212845J,AALL,40.0,81.0,31,129
169,AimBig Employment SURRY HILLS,0212900K,AALL,16.0,77.0,15,104
170,AimBig Employment SYDNEY,0212845J,AALL,9.0,30.0,9,39
171,AimBig Employment SYDNEY,0212900K,AALL,11.0,40.0,11,54
172,AimBig Employment TAMWORTH,0212814B,AALL,12.0,53.0,7,55
173,AimBig Employment TAYLORS LAKES,0212822B,MENH,8.0,17.0,5,44
174,AimBig Employment TAYLORS LAKES,0212823C,MUSK,22.0,45.0,24,101
175,AimBig Employment THE ENTRANCE,0212812K,AALL,9.0,40.0,11,33
176,AimBig Employment THE ENTRANCE,0212881B,AALL,14.0,60.0,11,58
177,AimBig Employment TOOWONG,0212795D,AALL,27.0,54.0,21,84
178,AimBig Employment TOOWONG,0212879H,AALL,30.0,135.0,33,124
179,AimBig Employment WARRNAMBOOL,0212863K,MENH,10.0,46.0,12,39
180,AimBig Employment WARRNAMBOOL,0212864A,MUSK,2.0,13.0,1,8
181,AimBig Employment WERRIBEE,0212822B,MENH,24.0,103.0,25,124
182,AimBig Employment WERRIBEE,0212823C,MUSK,15.0,48.0,15,73
183,AimBig Employment WOLLONGONG,0212857B,MUSK,2.0,17.0,2,13
184,AimBig Employment WOY WOY,0212812K,AALL,18.0,39.0,11,29
185,AimBig Employment WOY WOY,0212881B,AALL,17.0,39.0,12,56
186,AimBig Employment WYONG,0212812K,AALL,8.0,8.0,7,19
187,AimBig Employment WYONG,0212881B,AALL,5.0,29.0,7,37
188,Aimbig Employment LAUNCESTON,0212893F,AALL,5.0,25.0,5,26
189,Aimbig Employment RICHMOND,0212850F,AALL,3.0,3.0,1,3
