,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg
27,0212813A,AimBig Employment CESSNOCK,AALL,29.411764705882355,33.33333333333333,0.0,0.5,11.11111111111111,0.5,29.411764705882355,25.0,100.0,0.5,33.33333333333333,0.5,11.11111111111111,0.5,0.5,33.33333333333333,0.0,1.333333333333333,0.0,1.0,0.33333333333333337,1.0,0.0,4.0,1.0025062656641608,2.198808978469996,4.0,0.0
28,0212813A,AimBig Employment MAITLAND,AALL,16.666666666666664,5.88235294117647,10.0,0.5,0.0,0.5,20.833333333333336,17.647058823529413,0.5,0.5,6.25,0.5,0.0,0.5,0.5,5.88235294117647,10.0,0.33333333333333326,20.0,1.0,0.0,1.0,0.0,4.0,0.03896736483195328,4.0,2.73,0.0
29,0212814B,AimBig Employment GUNNEDAH,AALL,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.6666666666666665,4.0,0.08695652173913043,0.0
30,0212814B,AimBig Employment TAMWORTH,AALL,22.22222222222222,4.0,0.0,0.5,0.0,0.5,11.11111111111111,6.0,16.666666666666664,0.5,6.25,0.5,0.0,0.5,0.5,4.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,4.0,2.6799999999999997,0.0,4.0,0.75,0.0
31,0212815C,AimBig Employment BROADMEADOW,AALL,100.0,100.0,0.5,0.5,0.5,0.5,40.0,150.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,2.985074626865672,4.0,0.0,0.92,4.0,0.0
32,0212815C,AimBig Employment CHARLESTOWN,AALL,100.0,100.0,0.5,0.5,0.5,0.5,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,0.92,4.0,0.0
33,0212816D,AimBig Employment SINGLETON,AALL,57.14285714285714,100.0,0.5,0.5,100.0,0.5,0.5,100.0,0.5,0.5,200.0,0.5,100.0,0.5,0.5,100.0,0.5,1.0,1.0,1.0,0.5,1.0,4.0,0.05319822672577581,0.0,0.0,4.0,3.948051948051948
34,0212817E,AimBig Employment BROADMEADOWS,AALL,36.36363636363637,13.793103448275861,0.0,0.5,7.4074074074074066,0.5,27.27272727272727,6.896551724137931,0.5,0.5,18.51851851851852,0.5,7.4074074074074066,0.5,0.5,13.793103448275861,0.0,2.0,0.0,1.0,0.39999999999999997,1.0,0.0,4.0,0.15999999999999892,4.0,1.5724999999999998,0.0
35,0212817E,AimBig Employment CRAIGIEBURN,AALL,38.095238095238095,42.857142857142854,0.0,0.5,0.0,0.5,19.047619047619047,35.714285714285715,100.0,0.5,100.0,0.5,0.0,0.5,0.5,42.857142857142854,0.0,1.2,0.0,1.0,0.0,1.0,3.333333333333333,4.0,0.0,2.2140221402214024,4.0,0.0
36,0212817E,AimBig Employment GLENROY,AALL,33.33333333333333,0.0,0.0,0.5,0.0,0.5,11.11111111111111,25.0,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.08333333333333333,0.0
37,0212817E,AimBig Employment MOONEE PONDS,AALL,17.5,4.761904761904762,5.88235294117647,0.5,5.263157894736842,0.5,15.0,3.571428571428571,11.76470588235294,0.5,11.842105263157894,0.5,5.263157894736842,0.5,0.5,4.761904761904762,5.88235294117647,1.3333333333333335,0.5,1.0,0.4444444444444444,1.0,0.0,4.0,0.6680026720106879,4.0,1.1422222222222222,0.0
38,0212817E,AimBig Employment Pty Ltd SUNBURY,AALL,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,4.0,0.020202020202020204,0.0,4.0,0.08695652173913043,0.0
39,0212818F,AimBig Employment FRANKSTON,MENH,10.638297872340425,9.090909090909092,11.11111111111111,0.5,4.761904761904762,0.5,6.382978723404255,15.909090909090908,11.11111111111111,0.5,14.285714285714285,0.5,4.761904761904762,0.5,0.5,9.090909090909092,11.11111111111111,0.5714285714285715,1.0,1.0,0.33333333333333337,1.0,1.0781671159029649,4.0,0.0,4.0,3.305263157894737,0.0
40,0212818F,AimBig Employment Pty Ltd CAPEL SOUND,MENH,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.08333333333333333,0.0
41,0212819G,AimBig Employment FRANKSTON,MUSK,14.285714285714285,11.11111111111111,20.0,0.5,20.0,0.5,14.285714285714285,22.22222222222222,0.5,0.5,20.0,0.5,20.0,0.5,0.5,11.11111111111111,20.0,0.5,40.0,1.0,1.0,1.0,0.0,4.0,0.09876543209876543,1.3781223083548666,4.0,0.0
42,0212820K,AimBig Employment EPPING,MENH,30.0,22.727272727272727,10.0,0.5,15.0,0.5,20.0,22.727272727272727,10.0,0.5,20.0,0.5,15.0,0.5,0.5,22.727272727272727,10.0,1.0,1.0,1.0,0.75,1.0,0.0,4.0,0.6666666666666666,1.8572257690075453,4.0,0.0
43,0212820K,AimBig Employment HEIDELBERG,MENH,50.0,27.27272727272727,0.0,0.5,5.88235294117647,0.5,33.33333333333333,36.36363636363637,0.5,0.5,23.52941176470588,0.5,5.88235294117647,0.5,0.5,27.27272727272727,0.0,0.7499999999999999,0.0,1.0,0.25,1.0,2.0000000000000018,4.0,0.0,3.307303628847037,4.0,0.0
44,0212820K,AimBig Employment Pty Ltd PRESTON,MENH,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,4.0,0.020202020202020204,0.0,4.0,0.08695652173913043,0.0
45,0212820K,AimBig Employment Pty Ltd RESERVOIR,MENH,50.0,100.0,0.5,0.5,100.0,0.5,50.0,50.0,0.5,0.5,200.0,0.5,100.0,0.5,0.5,100.0,0.5,2.0,1.0,1.0,0.5,1.0,0.0,4.0,0.6666666666666666,0.0,4.0,3.948051948051948
46,0212820K,AimBig Employment Pty Ltd THOMASTOWN,MENH,100.0,0.0,0.0,0.5,0.0,0.5,100.0,0.5,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.08333333333333333,0.0
47,0212821A,AimBig Employment EPPING,MUSK,15.789473684210526,100.0,0.5,0.5,100.0,0.5,15.789473684210526,50.0,0.5,0.5,300.0,0.5,100.0,0.5,0.5,100.0,0.5,2.0,1.0,1.0,0.3333333333333333,1.0,0.0,4.0,0.44444444444444436,0.0,4.0,3.948051948051948
48,0212821A,AimBig Employment HEIDELBERG,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.6666666666666665,4.0,0.08695652173913043,0.0
49,0212821A,AimBig Employment Pty Ltd PRESTON,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.6666666666666665,4.0,0.08695652173913043,0.0
50,0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,30.0,11.11111111111111,0.0,0.5,0.0,0.5,10.0,11.11111111111111,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,4.0,1.9349999999999998,0.0
