,JOB_SEEKER_ID,Contract_ID,Site_Name,specialist_site_type_code,Num_13_full_exp,Num_26_full_exp,Num_26_path_exp,Num_26_wrkast_exp,Num_52_full_exp,Num_52_path_exp
740,9623657003,0212815C,AimBig Employment BROADMEADOW,AALL,0.0,0.0,0.0,0.0,0.0,0.0
741,854484409,0212841E,AimBig Employment AUBURN,AALL,0.0,0.0,0.0,0.0,1.0,0.0
742,453872909,0212884E,AimBig Employment CHARLESTOWN,AALL,1.0,0.0,0.0,0.0,0.0,0.0
743,5848640,0212849B,AimBig Employment CAMPBELLTOWN,AALL,1.0,0.0,0.0,0.0,0.0,0.0
744,9116711007,0212886G,AimBig Employment CRAIGIEBURN,AALL,0.0,0.0,0.0,0.0,0.0,0.0
745,8437707003,0212882C,AimBig Employment MAITLAND,AALL,1.0,0.0,0.0,0.0,0.0,0.0
746,411661019,0212822B,AimBig Employment Pty Ltd ST ALBANS,MENH,0.0,0.0,0.0,0.0,0.0,0.0
747,1330930,0212886G,AimBig Employment GLENROY,AALL,1.0,1.0,0.0,0.0,1.0,0.0
748,18361850,0212814B,AimBig Employment TAMWORTH,AALL,0.0,0.0,0.0,0.0,0.0,0.0
749,3850688609,0212823C,AimBig Employment Pty Ltd ST ALBANS,MUSK,1.0,0.0,0.0,0.0,0.0,0.0
750,5138596409,0212823C,AimBig Employment Pty Ltd MELTON,MUSK,1.0,1.0,0.0,0.0,1.0,0.0
751,1066199909,0212823C,AimBig Employment TAYLORS LAKES,MUSK,1.0,0.0,0.0,0.0,1.0,0.0
752,4371425019,0212817E,AimBig Employment CRAIGIEBURN,AALL,0.0,1.0,1.0,0.0,1.0,0.0
753,4384090019,0212900K,AimBig Employment MARRICKVILLE,AALL,0.0,1.0,1.0,0.0,1.0,0.0
754,21369709,0212882C,AimBig Employment CESSNOCK,AALL,1.0,0.0,0.0,0.0,0.0,0.0
755,1490820,0212790K,AimBig Employment NORWOOD,MUSK,1.0,1.0,1.0,0.0,1.0,0.0
756,2205920,0212839K,AimBig Employment BANKSTOWN,MENH,1.0,1.0,0.0,0.0,1.0,0.0
757,2192810,0212886G,AimBig Employment MOONEE PONDS,AALL,0.0,1.0,0.0,0.0,0.0,0.0
758,8587413709,0212879H,AimBig Employment TOOWONG,AALL,1.0,0.0,0.0,0.0,1.0,1.0
759,7162721003,0212881B,AimBig Employment THE ENTRANCE,AALL,0.0,0.0,0.0,0.0,0.0,0.0
760,2878234003,0212889K,AimBig Employment GLEN INNES,AALL,1.0,1.0,0.0,0.0,1.0,0.0
761,1388713709,0212825E,AimBig Employment MELBOURNE,MUSK,1.0,1.0,0.0,0.0,1.0,0.0
762,3809130,0212840D,AimBig Employment BANKSTOWN,MUSK,1.0,1.0,0.0,0.0,0.0,0.0
763,1417755019,0212823C,AimBig Employment TAYLORS LAKES,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
764,19372980,0212793B,AimBig Employment BURLEIGH HEADS,MENH,0.0,0.0,0.0,0.0,0.0,0.0
765,262680007,0212822B,AimBig Employment SUNSHINE,MENH,0.0,0.0,0.0,0.0,0.0,0.0
766,9842831509,0212849B,AimBig Employment CAMPBELLTOWN,AALL,1.0,1.0,0.0,0.0,1.0,0.0
767,16341000,0212886G,AimBig Employment GLENROY,AALL,0.0,0.0,0.0,0.0,0.0,0.0
768,9613242119,0212818F,AimBig Employment FRANKSTON,MENH,1.0,1.0,0.0,0.0,1.0,0.0
769,1540260,0212879H,AimBig Employment NORTH LAKES,AALL,1.0,1.0,0.0,0.0,0.0,0.0
770,3149310,0212844H,AimBig Employment FAIRFIELD,AALL,0.0,0.0,1.0,0.0,0.0,0.0
771,7727903003,0212884E,AimBig Employment BROADMEADOW,AALL,1.0,1.0,0.0,0.0,1.0,0.0
772,3351114007,0212820K,AimBig Employment Pty Ltd RESERVOIR,MENH,0.0,0.0,0.0,0.0,1.0,0.0
773,7055010009,0212864A,AimBig Employment WARRNAMBOOL,MUSK,1.0,0.0,0.0,0.0,1.0,0.0
774,8810290109,0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,1.0,0.0,0.0,0.0,1.0,0.0
775,3082066309,0212848A,AimBig Employment LIVERPOOL,AALL,0.0,0.0,1.0,0.0,0.0,0.0
776,7477599509,0212823C,AimBig Employment TAYLORS LAKES,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
777,9488644109,0212848A,AimBig Employment LIVERPOOL,AALL,0.0,0.0,0.0,0.0,1.0,0.0
778,2821077709,0212822B,AimBig Employment NEWPORT,MENH,1.0,1.0,0.0,0.0,0.0,0.0
779,260536709,0212793B,AimBig Employment SOUTHPORT,MENH,1.0,1.0,0.0,0.0,0.0,0.0
780,9683363019,0212889K,AimBig Employment GLEN INNES,AALL,1.0,0.0,0.0,0.0,0.0,0.0
781,3287255003,0212881B,AimBig Employment WOY WOY,AALL,0.0,0.0,0.0,0.0,0.0,0.0
782,9101053609,0212900K,AimBig Employment LEICHHARDT,AALL,0.0,0.0,0.0,0.0,0.0,0.0
783,1881440,0212900K,AimBig Employment DARLINGHURST,AALL,0.0,0.0,0.0,0.0,0.0,0.0
784,5649800,0212823C,AimBig Employment Pty Ltd ST ALBANS,MUSK,0.0,0.0,1.0,0.0,0.0,0.0
785,9881633909,0212881B,AimBig Employment WYONG,AALL,0.0,0.0,0.0,0.0,0.0,0.0
786,12297720,0212826F,AimBig Employment COFFS HARBOUR,AALL,1.0,1.0,0.0,0.0,1.0,0.0
787,9680132119,0212793B,AimBig Employment NERANG,MENH,1.0,0.0,0.0,0.0,0.0,0.0
788,1506981005,0212791K,AimBig Employment Pty Ltd. SEATON,MENH,1.0,0.0,1.0,0.0,1.0,0.0
789,8131620,0212804K,AimBig Employment AITKENVALE,MENH,1.0,0.0,0.0,0.0,0.0,0.0
790,7854880019,0212826F,AimBig Employment COFFS HARBOUR,AALL,0.0,0.0,0.0,0.0,0.0,0.0
791,6681179019,0212881B,AimBig Employment ETTALONG BEACH,AALL,0.0,0.0,0.0,0.0,0.0,0.0
792,673333909,0212817E,AimBig Employment MOONEE PONDS,AALL,0.0,0.0,0.0,0.0,0.0,0.0
793,1471941909,0212886G,AimBig Employment MOONEE PONDS,AALL,1.0,0.0,0.0,0.0,0.0,0.0
794,2442627409,0212849B,AimBig Employment INGLEBURN,AALL,1.0,0.0,0.0,0.0,0.0,0.0
795,244804004,0212805A,AimBig Employment AITKENVALE,MUSK,0.0,1.0,0.0,0.0,0.0,0.0
796,14484870,0212900K,AimBig Employment LEICHHARDT,AALL,1.0,0.0,0.0,0.0,1.0,0.0
797,6565223019,0212845J,AimBig Employment MARRICKVILLE,AALL,0.0,0.0,0.0,0.0,0.0,0.0
798,3071117209,0212886G,AimBig Employment BROADMEADOWS,AALL,1.0,1.0,0.0,0.0,1.0,0.0
799,17949530,0212846K,AimBig Employment BURWOOD,MENH,0.0,0.0,0.0,0.0,0.0,0.0
800,464900,0212879H,AimBig Employment TOOWONG,AALL,1.0,1.0,0.0,0.0,0.0,0.0
801,6636981709,0212886G,AimBig Employment MOONEE PONDS,AALL,0.0,0.0,1.0,0.0,0.0,0.0
802,3445561019,0212793B,AimBig Employment SOUTHPORT,MENH,1.0,1.0,0.0,0.0,1.0,1.0
803,9868354809,0212886G,AimBig Employment MOONEE PONDS,AALL,1.0,0.0,0.0,0.0,0.0,0.0
804,502258909,0212881B,AimBig Employment WOY WOY,AALL,0.0,1.0,0.0,0.0,0.0,0.0
805,4161946809,0212900K,AimBig Employment LEICHHARDT,AALL,1.0,1.0,0.0,0.0,0.0,0.0
806,3226208909,0212823C,AimBig Employment TAYLORS LAKES,MUSK,1.0,0.0,0.0,0.0,1.0,0.0
807,9548740,0212857B,AimBig Employment WOLLONGONG,MUSK,1.0,1.0,0.0,0.0,0.0,0.0
808,6563440709,0212795D,AimBig Employment FORTITUDE VALLEY,AALL,1.0,0.0,0.0,0.0,0.0,0.0
809,6005480008,0212830B,AimBig Employment BERRIMAH,AALL,1.0,1.0,0.0,0.0,1.0,0.0
810,781683003,0212812K,AimBig Employment ETTALONG BEACH,AALL,1.0,1.0,0.0,0.0,1.0,0.0
811,6474422909,0212820K,AimBig Employment EPPING,MENH,0.0,0.0,0.0,0.0,0.0,0.0
812,2298164609,0212840D,AimBig Employment BANKSTOWN,MUSK,1.0,0.0,0.0,0.0,0.0,0.0
813,4009911709,0212822B,AimBig Employment SUNSHINE,MENH,1.0,1.0,0.0,0.0,1.0,0.0
814,5623057003,0212793B,AimBig Employment NERANG,MENH,1.0,0.0,0.0,0.0,0.0,1.0
815,610457409,0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
816,10085770,0212850F,AimBig Employment PENRITH,AALL,0.0,0.0,0.0,0.0,0.0,0.0
817,5706416003,0212899A,AimBig Employment FAIRFIELD,AALL,1.0,1.0,0.0,0.0,1.0,0.0
818,9491135003,0212841E,AimBig Employment AUBURN,AALL,1.0,1.0,0.0,0.0,1.0,0.0
819,9193491004,0212795D,AimBig Employment STRATHPINE,AALL,0.0,0.0,0.0,0.0,0.0,0.0
820,12686870,0212844H,AimBig Employment CABRAMATTA,AALL,0.0,0.0,0.0,0.0,0.0,0.0
821,93152009,0212858C,AimBig Employment BENDIGO,AALL,1.0,0.0,0.0,0.0,0.0,0.0
822,7926450019,0212886G,AimBig Employment MOONEE PONDS,AALL,1.0,0.0,0.0,0.0,0.0,0.0
