,Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full,NUMERATOR,DENOMINATOR,diff
118,AimBig Employment MOONEE PONDS,0212886G,AALL,34.0,141.0,34,183,-42.0
119,AimBig Employment MOUNT DRUITT,0212853J,MENH,13.0,45.0,18,63,-18.0
120,AimBig Employment MOUNT DRUITT,0212854K,MUSK,8.0,19.0,7,33,-14.0
121,AimBig Employment NAMBUCCA HEADS,0212826F,AALL,3.0,19.0,3,9,10.0
122,AimBig Employment NERANG,0212793B,MENH,6.0,7.0,3,21,-14.0
123,AimBig Employment NEWPORT,0212822B,MENH,10.0,27.0,9,49,-22.0
124,AimBig Employment NEWPORT,0212823C,MUSK,9.0,14.0,10,52,-38.0
125,AimBig Employment NORTH LAKES,0212795D,AALL,29.0,129.0,39,152,-23.0
126,AimBig Employment NORTH LAKES,0212879H,AALL,25.0,89.0,24,117,-28.0
127,AimBig Employment ORANGE,0212872A,MENH,2.0,15.0,2,12,3.0
128,AimBig Employment ORANGE,0212873B,MUSK,0.0,14.0,1,4,10.0
129,AimBig Employment OSBORNE PARK,0212833E,MENH,5.0,10.0,1,9,1.0
130,AimBig Employment PARRAMATTA,0212841E,AALL,21.0,61.0,26,74,-13.0
131,AimBig Employment PARRAMATTA,0212898K,AALL,17.0,77.0,21,93,-16.0
132,AimBig Employment PENRITH,0212850F,AALL,24.0,70.0,22,79,-9.0
133,AimBig Employment PHILLIP,0212836H,MUSK,2.0,2.0,1,3,-1.0
134,AimBig Employment PROSPECT,0212790K,MUSK,6.0,29.0,6,50,-21.0
135,AimBig Employment Pty Ltd BACCHUS MARSH,0212822B,MENH,3.0,3.0,1,5,-2.0
136,AimBig Employment Pty Ltd CAPEL SOUND,0212818F,MENH,0.0,0.0,0,0,0.0
137,AimBig Employment Pty Ltd GEELONG,0212862K,AALL,0.0,1.0,1,10,-9.0
138,AimBig Employment Pty Ltd GEELONG,0212895H,AALL,2.0,11.0,1,7,4.0
139,AimBig Employment Pty Ltd HOPPERS CROSSING,0212822B,MENH,2.0,2.0,0,12,-10.0
140,AimBig Employment Pty Ltd MELTON,0212822B,MENH,1.0,1.0,0,8,-7.0
141,AimBig Employment Pty Ltd MELTON,0212823C,MUSK,3.0,8.0,2,10,-2.0
142,AimBig Employment Pty Ltd PRESTON,0212820K,MENH,1.0,1.0,0,0,1.0
143,AimBig Employment Pty Ltd PRESTON,0212821A,MUSK,0.0,0.0,0,0,0.0
144,AimBig Employment Pty Ltd RESERVOIR,0212820K,MENH,4.0,11.0,4,10,1.0
145,AimBig Employment Pty Ltd RESERVOIR,0212821A,MUSK,5.0,6.0,3,11,-5.0
146,AimBig Employment Pty Ltd ST ALBANS,0212822B,MENH,7.0,11.0,1,11,0.0
147,AimBig Employment Pty Ltd ST ALBANS,0212823C,MUSK,5.0,7.0,3,14,-7.0
148,AimBig Employment Pty Ltd SUNBURY,0212817E,AALL,2.0,2.0,1,4,-2.0
149,AimBig Employment Pty Ltd THOMASTOWN,0212820K,MENH,1.0,1.0,0,6,-5.0
150,AimBig Employment Pty Ltd THOMASTOWN,0212821A,MUSK,0.0,0.0,0,4,-4.0
151,AimBig Employment Pty Ltd. ARMIDALE,0212889K,AALL,1.0,1.0,0,5,-4.0
152,AimBig Employment Pty Ltd. SEATON,0212791K,MENH,2.0,2.0,2,5,-3.0
153,AimBig Employment ROCKDALE,0212855K,AALL,11.0,36.0,13,49,-13.0
154,AimBig Employment ROCKDALE,0212904D,AALL,5.0,25.0,5,42,-17.0
155,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH,7.0,18.0,9,28,-10.0
156,AimBig Employment ROCKHAMPTON CITY,0212801H,MUSK,4.0,10.0,3,26,-16.0
157,AimBig Employment ROCKINGHAM,0212831C,MENH,20.0,66.0,16,77,-11.0
158,AimBig Employment ROCKINGHAM,0212832D,MUSK,4.0,34.0,5,36,-2.0
159,AimBig Employment ROMA,0212838K,AALL,9.0,12.0,7,22,-10.0
160,AimBig Employment ROMA,0212897K,AALL,4.0,21.0,6,30,-9.0
161,AimBig Employment ROSNY PARK,0212861J,AALL,1.0,8.0,1,17,-9.0
162,AimBig Employment SINGLETON,0212816D,AALL,15.0,17.0,11,29,-12.0
163,AimBig Employment SOUTHPORT,0212793B,MENH,6.0,7.0,5,17,-10.0
164,AimBig Employment STRATHPINE,0212795D,AALL,2.0,3.0,2,4,-1.0
165,AimBig Employment SUNSHINE,0212822B,MENH,7.0,17.0,9,36,-19.0
166,AimBig Employment SUNSHINE,0212823C,MUSK,9.0,16.0,18,50,-34.0
167,AimBig Employment SURFERS PARADISE,0212793B,MENH,14.0,42.0,14,59,-17.0
168,AimBig Employment SURRY HILLS,0212845J,AALL,40.0,81.0,31,129,-48.0
169,AimBig Employment SURRY HILLS,0212900K,AALL,16.0,77.0,15,104,-27.0
170,AimBig Employment SYDNEY,0212845J,AALL,9.0,30.0,9,39,-9.0
171,AimBig Employment SYDNEY,0212900K,AALL,11.0,40.0,11,54,-14.0
172,AimBig Employment TAMWORTH,0212814B,AALL,12.0,53.0,7,55,-2.0
173,AimBig Employment TAYLORS LAKES,0212822B,MENH,8.0,17.0,5,44,-27.0
174,AimBig Employment TAYLORS LAKES,0212823C,MUSK,22.0,45.0,24,101,-56.0
175,AimBig Employment THE ENTRANCE,0212812K,AALL,9.0,40.0,11,33,7.0
176,AimBig Employment THE ENTRANCE,0212881B,AALL,14.0,60.0,11,58,2.0
177,AimBig Employment TOOWONG,0212795D,AALL,27.0,54.0,21,84,-30.0
178,AimBig Employment TOOWONG,0212879H,AALL,30.0,135.0,33,124,11.0
179,AimBig Employment WARRNAMBOOL,0212863K,MENH,10.0,46.0,12,39,7.0
180,AimBig Employment WARRNAMBOOL,0212864A,MUSK,2.0,13.0,1,8,5.0
181,AimBig Employment WERRIBEE,0212822B,MENH,24.0,103.0,25,124,-21.0
182,AimBig Employment WERRIBEE,0212823C,MUSK,15.0,48.0,15,73,-25.0
183,AimBig Employment WOLLONGONG,0212857B,MUSK,2.0,17.0,2,13,4.0
184,AimBig Employment WOY WOY,0212812K,AALL,18.0,39.0,11,29,10.0
185,AimBig Employment WOY WOY,0212881B,AALL,17.0,39.0,12,56,-17.0
186,AimBig Employment WYONG,0212812K,AALL,8.0,8.0,7,19,-11.0
187,AimBig Employment WYONG,0212881B,AALL,5.0,29.0,7,37,-8.0
188,Aimbig Employment LAUNCESTON,0212893F,AALL,5.0,25.0,5,26,-1.0
189,Aimbig Employment RICHMOND,0212850F,AALL,3.0,3.0,1,3,0.0
