,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,4507140003,0,5,AimBig Employment SURRY HILLS,0212900K,AALL
0,1218692509,0,2,AimBig Employment WERRIBEE,0212823C,MUSK
0,7725716003,0,4,AimBig Employment BURWOOD,0212846K,MENH
0,9143033003,0,2,AimBig Employment BONDI JUNCTION,0212843G,MUSK
0,8511703119,0,1,AimBig Employment TAYLORS LAKES,0212823C,MUSK
0,7964104309,0,2,AimBig Employment INVERELL,0212828H,AALL
0,3993781209,0,2,AimBig Employment BROADMEADOWS,0212817E,AALL
0,5902829809,0,4,AimBig Employment RYDE,0212851G,(blank)
0,7131964409,0,0,AimBig Employment FAIRFIELD,,
0,612500,0,1,AimBig Employment INGLEBURN,0212849B,AALL
0,8918054007,0,2,AimBig Employment WARRNAMBOOL,0212864A,MUSK
0,7715072809,0,8,AimBig Employment AUBURN,0212841E,AALL
0,9397210009,0,8,AimBig Employment CABRAMATTA,0212899A,AALL
0,6017331005,0,1,AimBig Employment WANGURI,0212891D,AALL
0,3194576003,0,1,AimBig Employment SURRY HILLS,0212845J,AALL
0,660190,0,2,AimBig Employment DALBY,0212897K,AALL
0,3140649019,0,2,AimBig Employment HYDE PARK,0212804K,MENH
0,8421913309,0,2,AimBig Employment ROSNY PARK,0212861J,AALL
0,453761003,0,2,AimBig Employment SURRY HILLS,0212845J,AALL
0,6428853004,0,5,AimBig Employment AITKENVALE,0212804K,MENH
0,1071217709,0,4,AimBig Employment LEICHHARDT,0212900K,AALL
0,4470636509,0,2,AimBig Employment WERRIBEE,0212823C,MUSK
0,2883689409,0,2,AimBig Employment WERRIBEE,0212822B,MENH
0,5035840009,0,5,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH
0,6059643009,0,2,AimBig Employment WERRIBEE,0212822B,MENH
0,3079142609,0,1,AimBig Employment WOOLLOONGABBA,0212797F,(blank)
0,82501709,0,4,AimBig Employment NORTH LAKES,0212795D,AALL
0,324231004,0,5,AimBig Employment NORTH LAKES,0212879H,AALL
0,3475012509,0,8,AimBig Employment TOOWONG,0212795D,AALL
0,575444019,0,1,AimBig Employment PARRAMATTA,0212898K,AALL
0,4510572019,0,2,AimBig Employment OSBORNE PARK,0212834F,(blank)
0,1536810,0,2,AimBig Employment ETTALONG BEACH,0212881B,AALL
0,9359551509,0,1,AimBig Employment LEICHHARDT,0212900K,AALL
0,1714504509,0,3,AimBig Employment LIVERPOOL,0212901A,AALL
0,819103109,0,0,AimBig Employment WARRNAMBOOL,0212864A,MUSK
0,7752584009,0,1,AimBig Employment MARRICKVILLE,0212900K,AALL
0,6343615019,0,6,AimBig Employment LEICHHARDT,0212900K,AALL
0,170820,0,2,AimBig Employment THE ENTRANCE,0212881B,AALL
0,7756699109,0,1,AimBig Employment LEICHHARDT,0212900K,AALL
0,2325496109,0,2,AimBig Employment WERRIBEE,0212823C,MUSK
0,5674274309,0,2,AimBig Employment PENRITH,0212850F,AALL
0,9298105909,0,6,AimBig Employment CAMPBELLTOWN,0212902B,AALL
0,2356320,0,0,AimBig Employment PARRAMATTA,0212898K,AALL
0,910365509,0,1,AimBig Employment BAULKHAM HILLS,0212898K,AALL
0,739073509,0,5,AimBig Employment PARRAMATTA,0212898K,AALL
0,7003044209,0,1,AimBig Employment MARRICKVILLE,0212900K,AALL
0,9247792609,0,3,AimBig Employment CESSNOCK,0212813A,AALL
0,2173230,0,5,AimBig Employment MOONEE PONDS,0212886G,AALL
0,9710374809,0,4,AimBig Employment CESSNOCK,0212882C,AALL
0,7032444809,0,1,AimBig Employment MOONEE PONDS,0212886G,AALL
