,CONTRACT_ID,SITE_CODE,SPECIALTY_CD,SITE_NAME,PERFORMANCE_MEASURES,ALL_ORG_NAT_AVG,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,13_full_avg
4621,0212897K,AB41,AALL,AimBig Employment ROMA,13 Week Full Outcomes,22.4,0.0,0.0,0.0,0.0,0.0,22.4
4622,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,4 Week Outcomes,18.6,0.0,0.0,0.0,0.0,0.0,0.0
4624,0212897K,AB41,AALL,AimBig Employment ROMA,26 Week Full Outcomes,21.5,0.0,0.0,0.0,21.5,0.0,0.0
4625,0212897K,AB41,AALL,AimBig Employment ROMA,4 Week Outcomes,18.6,0.0,0.0,0.0,0.0,0.0,0.0
4626,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,52 Week Full Outcomes,17.2,17.2,0.0,0.0,0.0,0.0,0.0
4627,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,13 Week Full Outcomes,22.4,0.0,0.0,0.0,0.0,0.0,22.4
4629,0212897K,AB51,AALL,AimBig Employment DALBY,4 Week Outcomes,18.6,0.0,0.0,0.0,0.0,0.0,0.0
4630,0212897K,AB71,AALL,AimBig Employment MILES,26 Week Bonus Outcomes/Work Assist,68.4,0.0,0.0,68.4,0.0,0.0,0.0
4631,0212897K,AB41,AALL,AimBig Employment ROMA,26 Week Bonus Outcomes/Work Assist,68.4,0.0,0.0,68.4,0.0,0.0,0.0
4632,0212897K,AB51,AALL,AimBig Employment DALBY,26 Week Bonus Outcomes/Work Assist,68.4,0.0,0.0,68.4,0.0,0.0,0.0
4633,0212897K,AB51,AALL,AimBig Employment DALBY,52 Week Full Outcomes,17.2,17.2,0.0,0.0,0.0,0.0,0.0
4634,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Bonus Outcomes/Work Assist,68.4,0.0,0.0,68.4,0.0,0.0,0.0
4635,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Bonus Outcomes,74.3,0.0,0.0,0.0,0.0,0.0,0.0
4636,0212897K,AB41,AALL,AimBig Employment ROMA,26 Week Bonus Outcomes,74.3,0.0,0.0,0.0,0.0,0.0,0.0
4637,0212897K,AB71,AALL,AimBig Employment MILES,26 Week Bonus Outcomes,74.3,0.0,0.0,0.0,0.0,0.0,0.0
4638,0212897K,AB51,AALL,AimBig Employment DALBY,26 Week Bonus Outcomes,74.3,0.0,0.0,0.0,0.0,0.0,0.0
4643,0212897K,AB41,AALL,AimBig Employment ROMA,52 Week Full Outcomes,17.2,17.2,0.0,0.0,0.0,0.0,0.0
4644,0212897K,AB71,AALL,AimBig Employment MILES,52 Week Full Outcomes,17.2,17.2,0.0,0.0,0.0,0.0,0.0
4645,0212897K,AB41,AALL,AimBig Employment ROMA,26 Week Pathway Outcomes,1.1,0.0,0.0,0.0,0.0,1.1,0.0
4646,0212897K,AB51,AALL,AimBig Employment DALBY,26 Week Pathway Outcomes,1.1,0.0,0.0,0.0,0.0,1.1,0.0
4647,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Pathway Outcomes,1.1,0.0,0.0,0.0,0.0,1.1,0.0
4648,0212897K,AB71,AALL,AimBig Employment MILES,26 Week Pathway Outcomes,1.1,0.0,0.0,0.0,0.0,1.1,0.0
4649,0212897K,AB71,AALL,AimBig Employment MILES,52 Week Pathway Outcomes,1.3,0.0,1.3,0.0,0.0,0.0,0.0
4650,0212897K,AB71,AALL,AimBig Employment MILES,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4651,0212897K,AB51,AALL,AimBig Employment DALBY,52 Week Pathway Outcomes,1.3,0.0,1.3,0.0,0.0,0.0,0.0
4652,0212897K,AB51,AALL,AimBig Employment DALBY,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4653,0212897K,AB41,AALL,AimBig Employment ROMA,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4657,0212897K,AB51,AALL,AimBig Employment DALBY,26 Week Full Outcomes,21.5,0.0,0.0,0.0,21.5,0.0,0.0
4658,0212897K,AB51,AALL,AimBig Employment DALBY,13 Week Full Outcomes,22.4,0.0,0.0,0.0,0.0,0.0,22.4
4659,0212838K,AB51,AALL,AimBig Employment DALBY,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4660,0212838K,AB51,AALL,AimBig Employment DALBY,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4661,0212838K,AB51,AALL,AimBig Employment DALBY,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4662,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4663,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4664,0212838K,AB41,AALL,AimBig Employment ROMA,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4665,0212838K,AB71,AALL,AimBig Employment MILES,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4666,0212838K,AB51,AALL,AimBig Employment DALBY,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4667,0212897K,AB71,AALL,AimBig Employment MILES,13 Week Full Outcomes,22.4,0.0,0.0,0.0,0.0,0.0,22.4
4668,0212897K,AB71,AALL,AimBig Employment MILES,4 Week Outcomes,18.6,0.0,0.0,0.0,0.0,0.0,0.0
