,index,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg,overall_perScore,overall_perScore_avg,star_rating_perc,star_rating
25,25,0212812K,AimBig Employment WOY WOY,AALL,62.5,80.0,0.5,0.5,50.0,0.5,25.0,40.0,0.5,0.5,100.0,0.5,50.0,0.5,0.5,80.0,0.5,2.0,1.0,1.0,0.5,1.0,0.3648,1.828,0.0,0.0,1.828,0.5199999999999999,2.1928,2.348,-6.609880749574097,3.0
26,26,0212812K,AimBig Employment WYONG,AALL,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,200.0,1.0,1.0,1.0,1.0,0.90288,1.828,0.0,0.20976000000000003,1.828,0.0,2.73088,2.03776,34.01381909547738,4.0
27,27,0212813A,AimBig Employment CESSNOCK,AALL,29.411764705882355,33.33333333333333,0.0,0.5,11.11111111111111,0.5,29.411764705882355,25.0,100.0,0.5,33.33333333333333,0.5,11.11111111111111,0.5,0.5,33.33333333333333,0.0,1.333333333333333,0.0,1.0,0.33333333333333337,1.0,0.0,1.828,0.2857142857142858,0.5013284470911591,1.828,0.0,2.113714285714286,2.329328447091159,-9.256494576629152,3.0
28,28,0212813A,AimBig Employment MAITLAND,AALL,16.666666666666664,5.88235294117647,10.0,0.5,0.0,0.5,20.833333333333336,17.647058823529413,0.5,0.5,6.25,0.5,0.0,0.5,0.5,5.88235294117647,10.0,0.33333333333333326,20.0,1.0,0.0,1.0,0.0,1.828,0.011105698977106684,0.912,1.24761,0.0,1.8391056989771069,2.1596100000000003,-14.8408416808078,3.0
29,29,0212814B,AimBig Employment GUNNEDAH,AALL,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.7599999999999999,0.912,0.03973913043478261,0.0,2.588,0.9517391304347826,171.92325262677022,5.0
30,30,0212814B,AimBig Employment TAMWORTH,AALL,22.22222222222222,4.0,0.0,0.5,0.0,0.5,11.11111111111111,6.0,16.666666666666664,0.5,6.25,0.5,0.0,0.5,0.5,4.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.912,1.2247599999999998,0.0,0.912,0.34275,0.0,2.1367599999999998,1.25475,70.29368400079696,5.0
31,31,0212815C,AimBig Employment BROADMEADOW,AALL,100.0,100.0,0.5,0.5,0.5,0.5,40.0,150.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,0.6805970149253732,1.828,0.0,0.20976000000000003,1.828,0.0,2.5085970149253733,2.03776,23.105616702917583,4.0
32,32,0212815C,AimBig Employment CHARLESTOWN,AALL,100.0,100.0,0.5,0.5,0.5,0.5,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.57,0.20976000000000003,1.828,0.0,2.398,2.03776,17.67823492462312,3.0
33,33,0212816D,AimBig Employment SINGLETON,AALL,57.14285714285714,100.0,0.5,0.5,100.0,0.5,0.5,100.0,0.5,0.5,200.0,0.5,100.0,0.5,0.5,100.0,0.5,1.0,1.0,1.0,0.5,1.0,0.912,0.024311589613679546,0.0,0.0,1.828,1.125194805194805,0.9363115896136796,2.953194805194805,-68.2949601574991,1.0
34,34,0212817E,AimBig Employment BROADMEADOWS,AALL,36.36363636363637,13.793103448275861,0.0,0.5,7.4074074074074066,0.5,27.27272727272727,6.896551724137931,0.5,0.5,18.51851851851852,0.5,7.4074074074074066,0.5,0.5,13.793103448275861,0.0,2.0,0.0,1.0,0.39999999999999997,1.0,0.0,1.828,0.04559999999999969,0.912,0.7186324999999999,0.0,1.8735999999999997,1.6306325,14.900199769107985,3.0
