Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full
AimBig Employment CHATSWOOD,0212852H,(blank),1,1
AimBig Employment CHERMSIDE,0212795D,AALL,10,82
AimBig Employment CHERMSIDE,0212879H,AALL,12,68
AimBig Employment CHINCHILLA,0212838K,AALL,5,53
AimBig Employment CHINCHILLA,0212897K,AALL,4,40
AimBig Employment COFFS HARBOUR,0212826F,AALL,13,77
AimBig Employment COFFS HARBOUR,0212887H,(blank),6,46
AimBig Employment CORIO,0212862K,AALL,9,121
AimBig Employment CORIO,0212895H,AALL,7,79
AimBig Employment CRAIGIEBURN,0212817E,AALL,21,101
AimBig Employment CRAIGIEBURN,0212886G,AALL,15,101
AimBig Employment DALBY,0212838K,AALL,8,80
AimBig Employment DALBY,0212897K,AALL,7,77
AimBig Employment DARLINGHURST,0212845J,AALL,13,53
AimBig Employment DARLINGHURST,0212900K,AALL,6,102
AimBig Employment DARWIN CITY,0212830B,AALL,1,9
AimBig Employment DARWIN CITY,0212891D,AALL,1,1
AimBig Employment DEAKIN,0212835G,(blank),2,22
AimBig Employment DEAKIN,0212836H,MUSK,0,16
AimBig Employment DEVONPORT,0212868E,MENH,3,11
AimBig Employment DEVONPORT,0212869F,MUSK,1,9
AimBig Employment DUBBO,0212870K,MENH,1,33
AimBig Employment DUBBO,0212871K,MUSK,0,8
AimBig Employment DULWICH,0212789F,(blank),0,8
AimBig Employment EPPING,0212820K,MENH,15,131
AimBig Employment EPPING,0212821A,MUSK,8,40
AimBig Employment ETTALONG BEACH,0212812K,AALL,7,39
AimBig Employment ETTALONG BEACH,0212881B,AALL,14,78
AimBig Employment FAIRFIELD,0212844H,AALL,22,282
AimBig Employment FAIRFIELD,0212899A,AALL,16,154
AimBig Employment FORTITUDE VALLEY,0212795D,AALL,4,20
AimBig Employment FORTITUDE VALLEY,0212879H,AALL,8,128
AimBig Employment FRANKSTON,0212818F,MENH,18,254
AimBig Employment FRANKSTON,0212819G,MUSK,6,82
AimBig Employment GEELONG,0212895H,AALL,0,8
AimBig Employment GLEN INNES,0212828H,AALL,2,58
AimBig Employment GLEN INNES,0212889K,AALL,15,85
AimBig Employment GLENORCHY,0212861J,AALL,8,80
AimBig Employment GLENORCHY,0212892E,(blank),2,24
AimBig Employment GLENROY,0212817E,AALL,5,37
AimBig Employment GLENROY,0212886G,AALL,7,15
AimBig Employment GOSFORD,0212812K,AALL,1,41
AimBig Employment GOSFORD,0212881B,AALL,1,97
AimBig Employment GUNNEDAH,0212814B,AALL,0,48
AimBig Employment GUNNEDAH,0212883D,(blank),1,25
AimBig Employment HEIDELBERG,0212820K,MENH,11,86
AimBig Employment HEIDELBERG,0212821A,MUSK,4,20
AimBig Employment HOBART,0212861J,AALL,8,32
AimBig Employment HOBART,0212892E,(blank),4,60
AimBig Employment HORNSBY,0212841E,AALL,10,34
AimBig Employment HORNSBY,0212898K,AALL,6,30
AimBig Employment HUONVILLE,0212861J,AALL,0,14
AimBig Employment HUONVILLE,0212892E,(blank),0,16
AimBig Employment HURSTVILLE,0212855K,AALL,11,67
AimBig Employment HURSTVILLE,0212904D,AALL,25,120
AimBig Employment HYDE PARK,0212804K,MENH,0,42
AimBig Employment HYDE PARK,0212805A,MUSK,0,0
AimBig Employment INALA,0212796E,(blank),13,69
AimBig Employment INALA,0212797F,(blank),4,28
AimBig Employment INGLEBURN,0212849B,AALL,9,97
AimBig Employment INGLEBURN,0212902B,AALL,4,52
AimBig Employment INVERELL,0212828H,AALL,8,40
AimBig Employment INVERELL,0212889K,AALL,10,113
AimBig Employment JOONDALUP,0212833E,MENH,14,82
AimBig Employment JOONDALUP,0212834F,(blank),5,49
AimBig Employment KANWAL,0212812K,AALL,10,98
AimBig Employment KANWAL,0212881B,AALL,23,197
AimBig Employment LEICHHARDT,0212845J,AALL,30,145
AimBig Employment LEICHHARDT,0212900K,AALL,20,146
AimBig Employment LISMORE,0212829J,AALL,6,92
AimBig Employment LISMORE,0212890C,(blank),0,56
AimBig Employment LIVERPOOL,0212848A,AALL,16,144
AimBig Employment LIVERPOOL,0212901A,AALL,16,112
AimBig Employment MACKAY,0212802J,MENH,6,38
AimBig Employment MACKAY,0212803K,MUSK,5,26
AimBig Employment MACQUARIE PARK,0212851G,(blank),0,16
AimBig Employment MACQUARIE PARK,0212852H,(blank),3,11
AimBig Employment MAITLAND,0212813A,AALL,13,53
AimBig Employment MAITLAND,0212882C,AALL,19,171
AimBig Employment MARRICKVILLE,0212845J,AALL,13,33
AimBig Employment MARRICKVILLE,0212900K,AALL,14,122
AimBig Employment MARYBOROUGH,0212858C,AALL,2,2
AimBig Employment MARYBOROUGH,0212894G,AALL,0,8
AimBig Employment MELBOURNE,0212824D,(blank),8,64
AimBig Employment MELBOURNE,0212825E,MUSK,16,68
AimBig Employment MERRYLANDS,0212898K,AALL,1,1
AimBig Employment MILDURA,0212866C,MENH,1,33
AimBig Employment MILE END,0212791K,MENH,12,68
AimBig Employment MILE END,0212792A,(blank),4,44
AimBig Employment MILES,0212838K,AALL,5,29
AimBig Employment MILES,0212897K,AALL,1,25
AimBig Employment MIRANDA,0212855K,AALL,9,73
AimBig Employment MIRANDA,0212904D,AALL,15,87
AimBig Employment MITCHELTON,0212795D,AALL,11,27
AimBig Employment MITCHELTON,0212879H,AALL,11,99
AimBig Employment MOONEE PONDS,0212817E,AALL,27,332
AimBig Employment MOONEE PONDS,0212886G,AALL,35,415
AimBig Employment MOUNT DRUITT,0212853J,MENH,13,79
AimBig Employment MOUNT DRUITT,0212854K,MUSK,8,32
AimBig Employment NAMBUCCA HEADS,0212826F,AALL,3,33
AimBig Employment NAMBUCCA HEADS,0212887H,(blank),0,8
AimBig Employment NERANG,0212793B,MENH,6,22
AimBig Employment NERANG,0212794C,(blank),2,18
AimBig Employment NEWPORT,0212822B,MENH,10,58
AimBig Employment NEWPORT,0212823C,MUSK,9,25
AimBig Employment NORTH LAKES,0212795D,AALL,29,317
AimBig Employment NORTH LAKES,0212879H,AALL,25,201
AimBig Employment NORWOOD,0212789F,(blank),2,2
AimBig Employment NORWOOD,0212790K,MUSK,1,1
AimBig Employment ORANGE,0212872A,MENH,2,34
AimBig Employment ORANGE,0212873B,MUSK,1,9
AimBig Employment OSBORNE PARK,0212833E,MENH,5,21
AimBig Employment OSBORNE PARK,0212834F,(blank),0,0
AimBig Employment PARRAMATTA,0212841E,AALL,21,133
AimBig Employment PARRAMATTA,0212898K,AALL,17,191
AimBig Employment PENRITH,0212850F,AALL,24,152
AimBig Employment PENRITH,0212903C,(blank),28,221
AimBig Employment PHILLIP,0212835G,(blank),3,27
AimBig Employment PHILLIP,0212836H,MUSK,2,2
AimBig Employment PORT MACQUARIE,0212827G,(blank),4,92
AimBig Employment PORT MACQUARIE,0212888J,(blank),9,44
AimBig Employment PROSPECT,0212789F,(blank),21,135
AimBig Employment PROSPECT,0212790K,MUSK,6,78
AimBig Employment Pty Ltd BACCHUS MARSH,0212822B,MENH,3,3
AimBig Employment Pty Ltd CAPEL SOUND,0212818F,MENH,0,8
AimBig Employment Pty Ltd GEELONG,0212862K,AALL,0,8
AimBig Employment Pty Ltd GEELONG,0212895H,AALL,2,26
AimBig Employment Pty Ltd HOPPERS CROSSING,0212822B,MENH,2,18
AimBig Employment Pty Ltd MELTON,0212822B,MENH,1,1
AimBig Employment Pty Ltd MELTON,0212823C,MUSK,3,27
AimBig Employment Pty Ltd PRESTON,0212820K,MENH,1,1
AimBig Employment Pty Ltd PRESTON,0212821A,MUSK,0,8
AimBig Employment Pty Ltd RESERVOIR,0212820K,MENH,4,20
AimBig Employment Pty Ltd RESERVOIR,0212821A,MUSK,5,21
AimBig Employment Pty Ltd ST ALBANS,0212822B,MENH,7,67
AimBig Employment Pty Ltd ST ALBANS,0212823C,MUSK,5,13
AimBig Employment Pty Ltd SUNBURY,0212817E,AALL,2,2
AimBig Employment Pty Ltd THOMASTOWN,0212820K,MENH,1,9
AimBig Employment Pty Ltd THOMASTOWN,0212821A,MUSK,0,0
AimBig Employment Pty Ltd. ARMIDALE,0212889K,AALL,1,1
AimBig Employment Pty Ltd. SEATON,0212791K,MENH,2,2
AimBig Employment Pty Ltd. SEATON,0212792A,(blank),1,1
AimBig Employment ROCKDALE,0212855K,AALL,11,51
AimBig Employment ROCKDALE,0212904D,AALL,5,69
AimBig Employment ROCKHAMPTON CITY,0212800G,MENH,7,55
AimBig Employment ROCKHAMPTON CITY,0212801H,MUSK,4,20
AimBig Employment ROCKINGHAM,0212831C,MENH,20,116
AimBig Employment ROCKINGHAM,0212832D,MUSK,4,65
AimBig Employment ROMA,0212838K,AALL,9,17
AimBig Employment ROMA,0212897K,AALL,4,36
AimBig Employment ROSNY PARK,0212861J,AALL,1,33
AimBig Employment ROSNY PARK,0212892E,(blank),2,50
AimBig Employment RYDE,0212851G,(blank),7,31
AimBig Employment RYDE,0212852H,(blank),1,1
AimBig Employment SALE,0212876E,(blank),0,16
AimBig Employment SINGLETON,0212816D,AALL,15,31
AimBig Employment SINGLETON,0212885F,(blank),3,27
AimBig Employment SOUTHPORT,0212793B,MENH,6,14
AimBig Employment SOUTHPORT,0212794C,(blank),1,17
AimBig Employment STRATHPINE,0212795D,AALL,2,2
AimBig Employment SUNSHINE,0212822B,MENH,7,39
AimBig Employment SUNSHINE,0212823C,MUSK,9,49
AimBig Employment SUNSHINE WEST,0212822B,MENH,2,34
AimBig Employment SUNSHINE WEST,0212823C,MUSK,1,25
AimBig Employment SURFERS PARADISE,0212793B,MENH,14,76
AimBig Employment SURFERS PARADISE,0212794C,(blank),12,124
AimBig Employment SURRY HILLS,0212845J,AALL,40,200
AimBig Employment SURRY HILLS,0212900K,AALL,16,168
AimBig Employment SYDNEY,0212845J,AALL,9,57
AimBig Employment SYDNEY,0212900K,AALL,11,75
AimBig Employment TAMWORTH,0212814B,AALL,12,132
AimBig Employment TAMWORTH,0212883D,(blank),12,116
AimBig Employment TAYLORS LAKES,0212822B,MENH,8,56
AimBig Employment TAYLORS LAKES,0212823C,MUSK,22,94
AimBig Employment THE ENTRANCE,0212812K,AALL,9,65
AimBig Employment THE ENTRANCE,0212881B,AALL,14,98
AimBig Employment TIWI,0212830B,AALL,3,19
AimBig Employment TIWI,0212891D,AALL,3,11
AimBig Employment TOOWONG,0212795D,AALL,27,129
AimBig Employment TOOWONG,0212879H,AALL,31,295
AimBig Employment TRARALGON,0212877F,(blank),0,0
AimBig Employment UPPER MOUNT GRAVATT,0212796E,(blank),20,148
AimBig Employment UPPER MOUNT GRAVATT,0212797F,(blank),15,79
AimBig Employment WANGURI,0212830B,AALL,0,8
AimBig Employment WANGURI,0212891D,AALL,2,2
AimBig Employment WARRNAMBOOL,0212863K,MENH,10,80
AimBig Employment WARRNAMBOOL,0212864A,MUSK,2,32
AimBig Employment WERRIBEE,0212822B,MENH,24,160
AimBig Employment WERRIBEE,0212823C,MUSK,17,65
AimBig Employment WOLLONGONG,0212856A,(blank),3,51
AimBig Employment WOLLONGONG,0212857B,MUSK,2,38
AimBig Employment WOOLLOONGABBA,0212796E,(blank),8,90
AimBig Employment WOOLLOONGABBA,0212797F,(blank),5,45
AimBig Employment WOY WOY,0212812K,AALL,18,58
AimBig Employment WOY WOY,0212881B,AALL,17,97
AimBig Employment WYONG,0212812K,AALL,8,10
AimBig Employment WYONG,0212881B,AALL,5,59
Aimbig Employment LAUNCESTON,0212865B,(blank),6,54
Aimbig Employment LAUNCESTON,0212893F,AALL,5,45
Aimbig Employment RICHMOND,0212850F,AALL,3,11
Aimbig Employment WINDSOR,0212903C,(blank),1,1
